"lb" "mle" "ub" "ce" "Z" "cZ"
"Gria3" -5.99855459131245 -3.24733782386839 -1.30795551239144 -1.30795551239144 -3.42250036050912 -2.35765514435888
"Sema6a" -3.87876462295391 -2.16489188257893 -0.902038284407886 -0.902038284407886 -3.412539321266 -2.34535342123384
"Rfx4" -4.05917227983549 -2.07468805413814 -0.902038284407886 -0.902038284407886 -3.40940577102938 -2.34471633501214
"Acss1" -5.95345267709206 -3.1571339954276 -1.26285359817104 -1.26285359817104 -3.40828972747118 -2.34471633501214
"Mfsd2a" -6.08875841975322 -3.29243973808878 -1.35305742661183 -1.35305742661183 -3.40527660044991 -2.34193297760839
"Lamc1" -4.41998759359864 -2.11978996835853 -0.85693637018749 -0.85693637018749 -3.39483529384325 -2.33320123315298
"Ntm" -5.05141439268414 -2.48060528212169 -1.03734402706907 -1.03734402706907 -3.39058219987475 -2.32952947319256
"Sc4mol" -3.42774548074995 -1.98448422569735 -0.811834455967098 -0.811834455967098 -3.37384726557104 -2.30892146410725
"Wnt7b" -5.95345267709206 -3.1571339954276 -1.26285359817104 -1.26285359817104 -3.37367497640285 -2.30892146410725
"Shroom2" -6.08875841975322 -3.29243973808878 -1.30795551239144 -1.30795551239144 -3.36984230269714 -2.30493543589382
"Csgalnact1" -5.95345267709206 -3.1571339954276 -1.26285359817104 -1.26285359817104 -3.36514378014557 -2.29975688520586
"Lrrc7" -5.81814693443087 -3.06693016698681 -1.21775168395065 -1.21775168395065 -3.36131414552592 -2.29626498535635
"Qk" -3.60815313763153 -2.3452995394605 -0.992242112848671 -0.992242112848671 -3.36075879295655 -2.29626498535635
"Cdh13" -5.5024335348881 -2.57080911056247 -1.03734402706907 -1.03734402706907 -3.35910896006908 -2.29527093046919
"Glb1" -5.90835076287164 -3.1120320812072 -1.21775168395065 -1.21775168395065 -3.35704947938471 -2.29527093046919
"Vamp3" -3.87876462295391 -2.16489188257893 -0.85693637018749 -0.85693637018749 -3.35684178380644 -2.29527093046919
"Gm5148" -3.1120320812072 -1.84917848303616 -0.766732541746702 -0.766732541746702 -3.35638556847234 -2.29527093046919
